Gruppe;Kriterium;Erläuterung
I. Strategie, Innovation & Cisco 360 Alignment;1. Strategisches Alignment & Cisco Mindshare;Bewertung, ob der Partner seine Firmenstrategie aktiv an Cisco ausrichtet oder ob Cisco nur "einer von vielen" Herstellern ist. Dies ist essenziell für langfristige Planungssicherheit und Ressourcen-Allokation im neuen Partnerprogramm.
I. Strategie, Innovation & Cisco 360 Alignment;2. Investitionsbereitschaft & Zertifizierungen;Bewertung der Bereitschaft des Partners, vor einem konkreten Projekt in Wissen zu investieren. Cisco 360 belohnt Kompetenzaufbau stärker als reinen Umsatz. Wir benötigen Partner, die sich proaktiv spezialisieren.
I. Strategie, Innovation & Cisco 360 Alignment;3. Innovationskraft (KI, Automation, Programmability);Der Markt wandelt sich von Hardware zu Software/Automatisierung. Wir bewerten hier, ob der Partner technologisch "vorne weg" läuft und moderne Themen treibt, oder im reinen "Kistenschieben" verharrt.
I. Strategie, Innovation & Cisco 360 Alignment;4. Digitale Transformation & Cloud-Kompetenz;Bewertung der Fähigkeit, Kunden von klassischen On-Premise-Lösungen in hybride oder Cloud-Modelle zu begleiten. Dies ist der Kern der Cisco-Strategie (Transition to XaaS).
I. Strategie, Innovation & Cisco 360 Alignment;5. Sustainability Engagement;Bewertung, wie aktiv der Partner Cisco-Nachhaltigkeitsprogramme nutzt. Dies wird in öffentlichen Ausschreibungen zunehmend zum Bewertungskriterium ("Green IT").
II. Vertriebs-Performance & Marktabdeckung;6. Marktpräsenz & Channel-Abdeckung;Einschätzung der Sichtbarkeit des Partners im relevanten Marktsegment. Wird er von potenziellen Kunden als relevanter Player wahrgenommen? Wir benötigen eine ausreichende Marktdurchdringung.
II. Vertriebs-Performance & Marktabdeckung;7. Cybersecurity-Kompetenz & -Fokus;Cybersecurity ist der Wachstumstreiber und im Public Sector oft K.O.-Kriterium. Wir bewerten, ob der Partner hier tiefes, eigenständiges Know-how besitzt (nicht nur Lizenzverkauf).
II. Vertriebs-Performance & Marktabdeckung;8. Neukunden-Akquise & Hunting;Bewertung des Willens ("Hunger"), neue Dienststellen oder Behörden zu erschließen, statt nur Bestandskunden zu verwalten. Wichtig gegen Marktsättigung.
II. Vertriebs-Performance & Marktabdeckung;9. Bestandskunden-Engagement & Rahmenvertragsmanagement;Bewertung der Pflege bestehender Verträge und Rahmennverträge. Werden Rahmenverträge voll ausgeschöpft? Werden Renewals rechtzeitig gesichert? Dies sichert den Basis-Umsatz.
II. Vertriebs-Performance & Marktabdeckung;10. Pipeline-Qualität & Forecast-Treue;Bewertung der Zuverlässigkeit von vertrieblichen Aussagen. Cisco benötigt realistische Daten für die eigene Produktion und Finanzplanung (Predictability).
III. Public Sector Kompetenz;11. Vergaberechtliche Kompetenz & Frameworks;Im Public Sector scheitern Projekte oft nicht an der Technik, sondern am Vergaberecht. Der Partner muss die juristischen Spielregeln und Frameworks beherrschen, um "compliant" anbieten zu können.
III. Public Sector Kompetenz;12. Vertikalisierung & Fach-Spezialisierung;Öffentliche Auftraggeber sind heterogen. Wir bewerten, ob der Partner die "Fachsprache" und Mission spezifischer Teilmärkte versteht, oder "One-Size-Fits-All" anbietet.
III. Public Sector Kompetenz;13. Politisches Stakeholder-Management;Bewertung des Netzwerks des Partners. Hat er Zugang zu Entscheidern oberhalb der IT-Leitung (Politik, Behördenleitung)? Dies ist oft nötig, um Budgets freizumachen.
IV. Operational Excellence & Delivery;14. Verlässlichkeit & Liefertreue;Basis-Hygiene-Faktor. Bewertung der Verbindlichkeit von Aussagen zu Lieferterminen, Projektstarts und Ressourcenverfügbarkeit.
IV. Operational Excellence & Delivery;15. Reaktionsgeschwindigkeit & Agilität;Bewertung der Flexibilität. Öffentliche Projekte haben oft starre Deadlines (Haushaltsjahresende). Wie schnell kann der Partner agieren, wenn es brennt?
IV. Operational Excellence & Delivery;16. Operational Excellence (Booking & Backoffice);Bewertung der kaufmännischen Qualität. Fehlerhafte Orders kosten Cisco und den Partner massive interne Ressourcen. Wir bewerten Fehlerfreiheit und Automatisierungsgrad.
IV. Operational Excellence & Delivery;17. Lifecycle & Services Integration (CX/AS);Bewertung, ob der Partner über den reinen Produktverkauf hinausgeht und Cisco Services (CX) integriert. Dies erhöht die Kundenbindung und Marge.
V. Zusammenarbeit & "Soft Factors";18. Proaktive & Transparente Kommunikation;Bewertung der Offenheit. Findet ein Austausch auch über "unangenehme" Themen statt? Proaktivität verhindert Eskalationen.
V. Zusammenarbeit & "Soft Factors";19. Customer Success & Adoption;Zentral für Cisco 360. 
V. Zusammenarbeit & "Soft Factors";20. "Ease of doing Business" (Persönliche Zusammenarbeit);Subjektive Bewertung der "Chemie". Eine gute kulturelle Passung erleichtert das Tagesgeschäft und die Konfliktlösung massiv.
